sim_time, AUV_mk4?world_pose/position/z
51.324, -0.00205379
51.325, -0.00205393
51.326, -0.00205407
51.327, -0.00205421
51.328, -0.00205435
51.329, -0.00205449
51.33, -0.00205463
51.331, -0.00205477
51.332, -0.0020549
51.333, -0.00205504
51.334, -0.00205518
51.335, -0.00205531
51.336, -0.00205545
51.337, -0.00205559
51.338, -0.00205572
51.339, -0.00205586
51.34, -0.00205599
51.341, -0.00205613
51.342, -0.00205626
51.343, -0.0020564
51.344, -0.00205653
51.345, -0.00205666
51.346, -0.0020568
51.347, -0.00205693
51.348, -0.00205706
51.349, -0.00205719
51.35, -0.00205733
51.351, -0.00205746
51.352, -0.00205759
51.353, -0.00205772
51.354, -0.00205785
51.355, -0.00205798
51.356, -0.00205811
51.357, -0.00205824
51.358, -0.00205837
51.359, -0.0020585
51.36, -0.00205863
51.361, -0.00205876
51.362, -0.00205888
51.363, -0.00205901
51.364, -0.00205914
51.365, -0.00205927
51.366, -0.00205939
51.367, -0.00205952
51.368, -0.00205965
51.369, -0.00205977
51.37, -0.0020599
51.371, -0.00206002
51.372, -0.00206015
51.373, -0.00206027
51.374, -0.0020604
51.375, -0.00206052
51.376, -0.00206064
51.377, -0.00206077
51.378, -0.00206089
51.379, -0.00206101
51.38, -0.00206114
51.381, -0.00206126
51.382, -0.00206138
51.383, -0.0020615
51.384, -0.00206162
51.385, -0.00206174
51.386, -0.00206186
51.387, -0.00206198
51.388, -0.0020621
51.389, -0.00206222
51.39, -0.00206234
51.391, -0.00206246
51.392, -0.00206258
51.393, -0.0020627
51.394, -0.00206281
51.395, -0.00206293
51.396, -0.00206305
51.397, -0.00206316
51.398, -0.00206328
51.399, -0.0020634
51.4, -0.00206351
51.401, -0.00206363
51.402, -0.00206374
51.403, -0.00206386
51.404, -0.00206397
51.405, -0.00206409
51.406, -0.0020642
51.407, -0.00206432
51.408, -0.00206443
51.409, -0.00206455
51.41, -0.00206467
51.411, -0.00206478
51.412, -0.0020649
51.413, -0.00206501
51.414, -0.00206513
51.415, -0.00206524
51.416, -0.00206536
51.417, -0.00206547
51.418, -0.00206559
51.419, -0.00206571
51.42, -0.00206582
51.421, -0.00206594
51.422, -0.00206606
51.423, -0.00206617
51.424, -0.00206629
51.425, -0.0020664
51.426, -0.00206652
51.427, -0.00206664
51.428, -0.00206675
51.429, -0.00206687
51.43, -0.00206698
51.431, -0.0020671
51.432, -0.00206722
51.433, -0.00206733
51.434, -0.00206745
51.435, -0.00206757
51.436, -0.00206768
51.437, -0.0020678
51.438, -0.00206791
51.439, -0.00206803
51.44, -0.00206815
51.441, -0.00206826
51.442, -0.00206838
51.443, -0.0020685
51.444, -0.00206861
51.445, -0.00206873
51.446, -0.00206885
51.447, -0.00206896
51.448, -0.00206908
51.449, -0.0020692
51.45, -0.00206931
51.451, -0.00206943
51.452, -0.00206955
51.453, -0.00206966
51.454, -0.00206978
51.455, -0.0020699
51.456, -0.00207001
51.457, -0.00207013
51.458, -0.00207025
51.459, -0.00207037
51.46, -0.00207048
51.461, -0.0020706
51.462, -0.00207072
51.463, -0.00207083
51.464, -0.00207095
51.465, -0.00207107
51.466, -0.00207118
51.467, -0.0020713
51.468, -0.00207142
51.469, -0.00207154
51.47, -0.00207165
51.471, -0.00207177
51.472, -0.00207189
51.473, -0.00207201
51.474, -0.00207212
51.475, -0.00207224
51.476, -0.00207236
51.477, -0.00207248
51.478, -0.00207259
51.479, -0.00207271
51.48, -0.00207283
51.481, -0.00207295
51.482, -0.00207306
51.483, -0.00207318
51.484, -0.0020733
51.485, -0.00207342
51.486, -0.00207353
51.487, -0.00207365
51.488, -0.00207377
51.489, -0.00207389
51.49, -0.00207401
51.491, -0.00207412
51.492, -0.00207424
51.493, -0.00207436
51.494, -0.00207448
51.495, -0.0020746
51.496, -0.00207471
51.497, -0.00207483
51.498, -0.00207495
51.499, -0.00207507
51.5, -0.00207519
51.501, -0.0020753
51.502, -0.00207542
51.503, -0.00207554
51.504, -0.00207566
51.505, -0.00207578
51.506, -0.0020759
51.507, -0.00207601
51.508, -0.00207613
51.509, -0.00207625
51.51, -0.00207637
51.511, -0.00207648
51.512, -0.0020766
51.513, -0.00207672
51.514, -0.00207684
51.515, -0.00207695
51.516, -0.00207707
51.517, -0.00207719
51.518, -0.0020773
51.519, -0.00207742
